"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Dominican Republic","DOM","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.66970837144868","4.27408532265905","3.12919420245535","2.8706380231717","3.45486011402506","2.25179683245479","1.53648993145054","1.72594988860681","1.73698833018976","",
"Algeria","DZA","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1415508110567","18.31","14.3983059633084","11.7263814541696","10.5639712164989","9.20777261433976","9.81216410434653","11.4413799870272","",
"East Asia & Pacific (excluding high income)","EAP","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.83687707768649","2.42492313740664","2.19070623904117","2.07591214438443","2.04575205401682","2.11198871155511","","",
"Early-demographic dividend","EAR","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.12919420245535","2.76420847068128","2.68198784556196","2.80161919761223","2.64147250685562","2.79075891118544","2.85780789607925","",
"East Asia & Pacific","EAS","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.02901867116473","2.149","2.14412680479297","2.01584311320696","1.79854386150578","1.64578545979143","1.63763555943935","1.66387274747698","",
"Europe & Central Asia (excluding high income)","ECA","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.88384824266828","8.41460694061288","9.04070956501971","9.39821221158704","9.46403994934538","10.9395684304263","10.8059133941614","8.34723239726782","9.44473701889198","",
"Europe & Central Asia","ECS","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82208199288245","5.293444236956","5.82172259923197","6.00728103382975","6.55111366918828","6.00069133896484","6.73096464772584","6.16237661080171","5.07137685228544","",
"Ecuador","ECU","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8699263175749","9.50279114076136","7.19288330162806","5.43472695142331","3.98231074579563","3.69652179480438","3.43917859017453","4.10540266193965","3.35459628765638","3.19772697533527","3.75602134774845","3.55714677312065","3.58371226739211","4.40406418242852","3.96432968780132","",
"Egypt, Arab Rep.","EGY","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80769369127483","5.18450073480208","5.59860449988488","6.86684692928644","8.10384764714542","7.89388504185367","6.76647169553604","4.91022049104961","4.052153729926","",
"Eritrea","ERI","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.794366110308866","0.70119450576675","0.896581395411671","2.80769369127483","4.1210313362269","4.66837213164141","6.00728103382975","7.48390355952545","9.38072963218674","8.45278234869151","6.16237661080171","5.63525762139676","",
"Estonia","EST","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94468477607874","5.20231141689893","5.37548640053779","4.0453074433657","2.62266659520885","1.47462231497043","1.38823609881308","0.98187369073441","0.869768013352352","",
"Ethiopia","ETH","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
